|||2020-03-31 16:50:01,854 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3285.5","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5233","makerOrderId":1012177390191951872,"price":"3285.5","takerOrderId":1012177394847629312,"timestamp":"1585644601838","type":"B","virtual":0,"volume":"1.2"}
|||2020-03-31 16:50:01,882 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3285.5","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5234","makerOrderId":1012177394864406529,"price":"3202.16","takerOrderId":1012177394864406528,"timestamp":"1585644601862","type":"S","virtual":0,"volume":"1"}
|||2020-03-31 16:50:01,899 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3295.48","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5236","makerOrderId":1012177394595971072,"price":"3295.48","takerOrderId":1012177394881183744,"timestamp":"1585644601879","type":"B","virtual":0,"volume":"1.2"}
|||2020-03-31 16:50:01,903 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3285.5","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5235","makerOrderId":1012177390191951872,"price":"3285.5","takerOrderId":1012177394881183744,"timestamp":"1585644601879","type":"B","virtual":0,"volume":"0.1"}
|||2020-03-31 16:50:01,915 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3332.83","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5237","makerOrderId":1012177394587582464,"price":"3332.83","takerOrderId":1012177394881183744,"timestamp":"1585644601880","type":"B","virtual":0,"volume":"0.1"}
|||2020-03-31 16:50:01,918 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3278.93","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5238","makerOrderId":1012177394881183745,"price":"3278.93","takerOrderId":1012177394923126784,"timestamp":"1585644601903","type":"B","virtual":0,"volume":"0.7"}
|||2020-03-31 16:50:02,700 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3278.93","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5239","makerOrderId":1012177394881183745,"price":"3278.93","takerOrderId":1012177398500868096,"timestamp":"1585644602688","type":"B","virtual":0,"volume":"0.4"}
|||2020-03-31 16:50:02,862 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3278.93","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5240","makerOrderId":1012177394864406529,"price":"3202.16","takerOrderId":1012177399104847872,"timestamp":"1585644602841","type":"S","virtual":0,"volume":"0.2"}
|||2020-03-31 16:50:02,864 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3278.93","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5241","makerOrderId":1012177394881183745,"price":"3278.93","takerOrderId":1012177399109042176,"timestamp":"1585644602844","type":"B","virtual":0,"volume":"0.1"}
|||2020-03-31 16:50:04,763 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3226.31","bid":"3210.35","code":"BTC_USDT_ICNCDE_ENCRY","id":"5242","makerOrderId":1012177399385866241,"price":"3210.35","takerOrderId":1012177399587192832,"timestamp":"1585644602980","type":"S","virtual":0,"volume":"0.7"}
|||2020-03-31 16:50:04,769 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3206.57","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5243","makerOrderId":1012177399587192832,"price":"3206.57","takerOrderId":1012177399591387136,"timestamp":"1585644602990","type":"B","virtual":0,"volume":"0.3"}
|||2020-03-31 16:50:04,797 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3206.57","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5244","makerOrderId":1012177399587192832,"price":"3206.57","takerOrderId":1012177399679467520,"timestamp":"1585644603009","type":"B","virtual":0,"volume":"0.7"}
|||2020-03-31 16:50:04,800 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3226.31","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5245","makerOrderId":1012177399134208000,"price":"3226.31","takerOrderId":1012177399679467520,"timestamp":"1585644603009","type":"B","virtual":0,"volume":"0.1"}
|||2020-03-31 16:50:04,829 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3226.31","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5246","makerOrderId":1012177399134208000,"price":"3226.31","takerOrderId":1012177399675273216,"timestamp":"1585644603143","type":"B","virtual":0,"volume":"1.5"}
|||2020-03-31 16:50:04,830 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3226.31","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5247","makerOrderId":1012177399134208000,"price":"3226.31","takerOrderId":1012177403001356288,"timestamp":"1585644604754","type":"B","virtual":0,"volume":"0.3"}
|||2020-03-31 16:50:04,836 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3278.93","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5248","makerOrderId":1012177394881183745,"price":"3278.93","takerOrderId":1012177403001356288,"timestamp":"1585644604754","type":"B","virtual":0,"volume":"0.4"}
|||2020-03-31 16:50:04,846 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3307.24","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5249","makerOrderId":1012177395120259075,"price":"3307.24","takerOrderId":1012177403676639232,"timestamp":"1585644604755","type":"B","virtual":0,"volume":"0.3"}
|||2020-03-31 16:50:04,880 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3136.65","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5251","makerOrderId":1012177403672444929,"price":"3136.65","takerOrderId":1012177403877965825,"timestamp":"1585644604756","type":"B","virtual":0,"volume":"0.2"}
|||2020-03-31 16:50:04,882 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3307.24","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5250","makerOrderId":1012177394864406529,"price":"3202.16","takerOrderId":1012177403672444929,"timestamp":"1585644604755","type":"S","virtual":0,"volume":"0.7"}
|||2020-03-31 16:50:04,898 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3307.24","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5252","makerOrderId":1012177395120259075,"price":"3307.24","takerOrderId":1012177403877965825,"timestamp":"1585644604756","type":"B","virtual":0,"volume":"0.7"}
