
|||2020-03-31 16:50:09,513 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3281.06","bid":"3265.61","code":"BTC_USDT_ICNCDE_ENCRY","id":"5210","makerOrderId":1012176411790852096,"price":"3281.06","takerOrderId":1012177384936488960,"timestamp":"1585644599522","type":"B","virtual":0,"volume":"0.6"}
|||2020-03-31 16:50:09,597 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3145.65","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5270","makerOrderId":1012177412090413056,"price":"3145.65","takerOrderId":1012177413269012480,"timestamp":"1585644606210","type":"B","virtual":0,"volume":"1.3"}
|||2020-03-31 16:50:09,599 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3101.91","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5272","makerOrderId":1012177416322465792,"price":"3101.91","takerOrderId":1012177416414740480,"timestamp":"1585644606970","type":"B","virtual":0,"volume":"0.4"}
|||2020-03-31 16:50:09,600 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3300.75","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5279","makerOrderId":1012177413516476416,"price":"3300.75","takerOrderId":1012177416926445568,"timestamp":"1585644607085","type":"B","virtual":0,"volume":"0.2"}
|||2020-03-31 16:50:09,601 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3318.86","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5280","makerOrderId":1012177409208926208,"price":"3318.86","takerOrderId":1012177416926445568,"timestamp":"1585644607086","type":"B","virtual":0,"volume":"0.4"}
|||2020-03-31 16:50:09,602 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3370.27","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5287","makerOrderId":1012177394847629313,"price":"3370.27","takerOrderId":1012177417668837376,"timestamp":"1585644607720","type":"B","virtual":0,"volume":"0.7"}
|||2020-03-31 16:50:09,602 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3143.3","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5288","makerOrderId":1012177420764233728,"price":"3143.3","takerOrderId":1012177420848119808,"timestamp":"1585644608021","type":"B","virtual":0,"volume":"0.1"}
|||2020-03-31 16:50:09,603 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3250.65","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5294","makerOrderId":1012177417924689920,"price":"3250.65","takerOrderId":1012177422194491392,"timestamp":"1585644608343","type":"B","virtual":0,"volume":"0.2"}
|||2020-03-31 16:50:09,603 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3243.1","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5297","makerOrderId":1012177422915911680,"price":"3243.1","takerOrderId":1012177425239556096,"timestamp":"1585644609068","type":"B","virtual":0,"volume":"0.7"}
|||2020-03-31 16:50:09,604 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3277.05","bid":"3242.5","code":"BTC_USDT_ICNCDE_ENCRY","id":"5302","makerOrderId":1012177421087195136,"price":"3277.05","takerOrderId":1012177425705123840,"timestamp":"1585644609174","type":"B","virtual":0,"volume":"0.2"}
|||2020-03-31 16:50:09,605 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3292.45","bid":"3242.5","code":"BTC_USDT_ICNCDE_ENCRY","id":"5305","makerOrderId":1012177426590121985,"price":"3292.45","takerOrderId":1012177426887917568,"timestamp":"1585644609461","type":"B","virtual":0,"volume":"0.4"}
|||2020-03-31 16:50:09,605 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3362.47","bid":"3265.61","code":"BTC_USDT_ICNCDE_ENCRY","id":"5213","makerOrderId":1012176408917753856,"price":"3265.61","takerOrderId":1012177384978432001,"timestamp":"1585644599564","type":"S","virtual":0,"volume":"0.4"}
|||2020-03-31 16:50:09,606 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3215.64","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5215","makerOrderId":1012177384978432001,"price":"3215.64","takerOrderId":1012177385100066816,"timestamp":"1585644599634","type":"B","virtual":0,"volume":"0.1"}
|||2020-03-31 16:50:09,606 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3238.24","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5219","makerOrderId":1012177385037152258,"price":"3238.24","takerOrderId":1012177389638303744,"timestamp":"1585644600581","type":"B","virtual":0,"volume":"0.3"}
|||2020-03-31 16:50:09,607 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3249.49","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5224","makerOrderId":1012177389889961984,"price":"3249.49","takerOrderId":1012177390070317056,"timestamp":"1585644600736","type":"B","virtual":0,"volume":"1.1"}
|||2020-03-31 16:50:09,607 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3249.49","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5227","makerOrderId":1012177389889961984,"price":"3249.49","takerOrderId":1012177390359724032,"timestamp":"1585644600792","type":"B","virtual":0,"volume":"0.1"}
